population;region;country;lat;lon;tool;toolset;tooltype;toolclass;toolgroup;use;preparation;sequence;popcomplexity;Toolcomplexity;Toolsetcomplexity;tooldetail;Behaviour
Comoe;W;Cote dIvoire;8.841651;-3.70789;Honey lever;Aerial honey;Honeylever;Honeydip;Honey;1;2;2;8;13;23;Honey leverapis;Perforate
Comoe;W;Cote dIvoire;8.841651;-3.70789;Honey perforate;Underground stinglessbee;Honeyperforate;Honeydig;Honey;0;NA;0;NA;8;12;Honey perforate;Dig
Comoe;W;Cote dIvoire;8.841651;-3.70789;Honey pound;Aerial honey;Honeypound;Honeydip;Honey;0;NA;0;NA;20;36;Honey poundmeli;Pound
Comoe;W;Cote dIvoire;8.841651;-3.70789;Honey swab;Aerial honey;Honeyswab;Honeydip;Honey;0;NA;0;NA;22;36;Honey swab;Dip
Comoe;W;Cote dIvoire;8.841651;-3.70789;Honey whiskswat;Honey whiskswat;Honeywhiskswat;Honeydip;Honey;0;NA;0;NA;1;1;Honey whiskswat;Whisk
Comoe;W;Cote dIvoire;8.841651;-3.70789;Leafsponge;Leafsponge;Leafsponge;Leafsponge;Leaf;1;1;1;3;3;3;Leafsponge;Sponge
Comoe;W;Cote dIvoire;8.841651;-3.70789;Marrow pick;Marrow;Marrowpick;Marrowpick;Marrow;NA;NA;NA;NA;1;1;Marrow pick;Dip
Comoe;W;Cote dIvoire;8.841651;-3.70789;Nut branchanvil;Nut;Nutanvil;Nutcracking;Nut;0;NA;0;NA;9;9;Nut branchanvil;Smash
Comoe;W;Cote dIvoire;8.841651;-3.70789;Nut pick;Nut;Nutpick;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut pick;Dip
Comoe;W;Cote dIvoire;8.841651;-3.70789;Nut rootanvil;Nut;Nutanvil;Nutcracking;Nut;0;NA;0;NA;9;9;Nut rootanvil;Smash
Comoe;W;Cote dIvoire;8.841651;-3.70789;Nut stoneanvil;Nut;Nutanvil;Nutcracking;Nut;0;NA;0;NA;9;9;Nut stoneanvil;Smash
Comoe;W;Cote dIvoire;8.841651;-3.70789;Nut stonehammer;Nut;Nuthammer;Nutcracking;Nut;0;NA;0;NA;9;9;Nut stonehammer;Pound
Comoe;W;Cote dIvoire;8.841651;-3.70789;Nut woodhammer;Nut;Nuthammer;Nutcracking;Nut;0;NA;0;NA;9;9;Nut woodhammer;Pound
Comoe;W;Cote dIvoire;8.841651;-3.70789;Stone pound;Stonepound;Smash;Smash;Smash;1;NA;NA;NA;1;1;Stone pound;Smash
